_query_id,query
q1,want feel tell real truth hurt lie worse anymore little
q2,try hold hurt try forgive okay play break string feel
q3,believe drop rain fall grow believe
q4,prayer hear believe great hear word
q5,emotions feel heartaches
q6,better wake dream
q7,kiss lips want stroll charm mambo
q8,chacha meringue heaven arm japan brag
q9,hearts till world free oceans
q10,cross mountains climb know gain
q11,deep final prayer warriors secret sleep merchantman nightmare
q12,millions play killer victim fool obey order rehearse lifeboat shatter
q13,night single moment life want spend think think think tell care tell tell feel medley give reason feelin
q14,give mean life go exist begin bakit ganyan bakit ganyan ibig lagi kang pagmasdan umula umaraw hindi pagsasawaan
q15,pass meet break
q16,fast press lips
q17,night kiss lips
q18,lonely night surround
q19,say mean right look size
q20,awhile steal glimpse eye game offer lose
q21,better sail midnight better dive pearl better ski aspen better feed squirrels
q22,better williams blue better hear lady check monterey better know better desi
q23,moon pin pin place
q24,right window scatter light
q25,virgin diss hospital cemetary leave vast speculation quit rappin wack reputation write everyday lack termination education come motherfucker
q26,justify like family diss rest swaggin like rockstar limitless horrorcore bear mister death envy bitterness play rough fool
q27,work morning flight watch even burn away tear
q28,life leave trouble door leave know hold go
q29,wackywicky dance true dream carioca theme
q30,blue rhythm sigh meter tricky wicked
q31,gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face world better place smile
q32,gonna thing dreamer think uncool preach better life learn school life live come life life easy tough life easy whatcha
q33,notice days hurry blue days
q34,shin bright things go right
q35,black thoughts eye bloodshot music note know feel skin lick feel high kill drink girl smell sweet whiskey breath
q36,throw death death death death death death death death death death
q37,voice weak tongue blame maybe
q38,firmly wrist throw strap torture
q39,easier bitch leave happier face upstairs agonna stomp shout door gonna throw laundry hold shotgun
q40,little miss little miss wrong wrong wrong wrong little miss little miss little miss little
q41,word come undo face ghost decide inside burn need
q42,hang head break heart build tear apart burden anymore
q43,night restless night blood sober feel audible crack tell curtain hang
q44,manna hell drug need little think take like grow cry pavement
q45,strong know cope down stay
q46,know baby hang touch weak
q47,blow blow silky little
q48,parade care away night
q49,night long wanna know wanna peaceful feelin home
q50,home
q51,read right start
q52,near apart night
q53,home belong ocean silver
q54,belong market place algiers
q55,try grow hydro power bring twin tower gather qaeda cowards burn hell deserve
q56,ride motherfucker motherfuckin meet park pussy semper ready fight amendment right guarantee regardless
q57,know truly forget remember update ruin outdated style
q58,fame fruit tree unsound flourish stock grind fame
q59,help weakness hear drifter carry courtroom
q60,take away hasn pleasant time long
q61,anslinger shady lie congress
q62,government care health cigarettes
q63,hadn lonely awake
q64,wonder wide world
q65,world crash kiss resist good try good deny
q66,know kiss doom consume kiss aaah burn
q67,wanderlust roam know havin good days gonna future look
q68,smilin onward thoughts away home travelin time settle satisfy
q69,weak lose world radio receiver tune factories farm writer
q70,learn match beat world learn catch heat world mistake
q71,song sing song
q72,quit blue world sing
q73,call
q74,wait sunrise heart
q75,year think people like share beer have january
q76,monday yeah monday cause rybody drinkin vermouth lend
q77,yeah dance ceiling dance floor people come door know party go
q78,soul know gonna lose control boogaloo want know cold outside come
q79,glow love ones near wonderful time year party
q80,christmases long long wonderful time year mistletoeing hearts
q81,silly forget matter
q82,wooo
q83,raindrops
q84,stand stand walk jaw hell walk jaw
q85,flourish long go soon memory hide choose lose control control
q86,think think free simply away face mirror close eye disappear
q87,come true happen
q88,arm world special
q89,world trouble baby world pain world
q90,long life live walk world golden
q91,tear wear blue heart precious
q92,precious warm memory years blue
q93,save
q94,look eye touch soul hard hide
q95,bell shall ring ring
q96,bell stmary hear call
q97,sing rybody know
q98,bell ring bird
q99,granddad tell river pilot showboat call stage
q100,hear
q101,boat ashore hallelujah boat ashore hallelujah hear say hallelujah world think dead
q102,jericho hallelujah alabama hallelujah mississippi kneel pray hallelujah bus hallelujah boat ashore
q103,live dead climb earth tallest mountain
q104,distance world measure hand land write
q105,fill come goodbye sorry die come finish pay
q106,deal pharmaceuticals sell pills yesterday sister call tell
q107,durmi
q108,offer quanto sonno agiu
q109,lesson cause learn yeah shin children burn heart
q110,cage
q111,rest heart home home
q112,heart home heart home
q113,mighty soon break
q114,hearted
q115,stand beneath moon
q116,tomorrow morning away
q117,fellas tell better dead paint lately get
q118,like rearrange change voice ones hear head
q119,jezebel pair eye promise paradise jezebel
q120,jezebel night jezebel jezebel jezebel
q121,hound rhythm blue hound dog name rhythm blue hound rompin rhythm blue hound rockin rhythm blue
q122,hound crazy rhythm blue hound hound hound hound rhythm blue yeah rhythm blue romp stomp roll
q123,creep sleep sleep sleep daytime laughter
q124,night time bring rest weary sooths
q125,someday repeat tell truth
q126,forth try open close
q127,lipstick lavender keep close hold close hour escape sunlight run mountain ravenous face moon
q128,promise pull knuckle white breathe slip mountain ridge finish
q129,niggas wasn runnin dark like niggas wasn talk bout light niggas wasn runnin
q130,okay right tryna dream path gettin cake want place late okay away dark
q131,everybody stylin sippin teas long island black party come halt cause drink tequila lemon assault tequila tetete tequila tequila wake
q132,talk marguarita cause flyer take coast cause want screw driver speech plenty tequila beach tequila tetete tequila tequila fussin mexican
q133,forget mayo know bite style
q134,check
q135,night long vive vive company paris vive vive marcherie vive roll
q136,company paris vive vive marcherie vive roll vive roll vive roll
q137,chain heart free grow cold
q138,instrumental heart word sympathy fair
q139,thirty hours roll pain pray
q140,eye wide open sleep thing
q141,slave
q142,smile lure heart
q143,darling hunger touch long
q144,godspeed lonely mountain gaze
q145,trust heart pledge life
q146,word belong true word
q147,boys girls tell fellow track mind want baby
q148,run away run away
q149,go babe music
q150,world sing get
q151,forget voice whisper
q152,magic spell know
q153,come alternate plan paint shame
q154,blame come alternate plan paint
q155,talk child conversation tell heart
q156,time word come lips grow
q157,word memory share ignore
q158,realize care change know
q159,earnest prayer darling shield despair reveal hang heart
q160,reveal hang heart sleeve thruout life assure moment
q161,nuove piove piove nostro
q162,bambina heart call rain
q163,separ allontan destino colpa
q164,forget lips hold tight
q165,even walk flower
q166,wide go fade
q167,balockachimba money venezuela sing little softer money venezuela everybody sing
q168,horse heya money venezuela everybody sing sing little louder money
q169,smile divine guess devil
q170,devil mind like devil
q171,stand stoics stall creation stand hosanna come come shine
q172,house house weak house build weak foundation stand stoics
q173,wing
q174,volare cantare cloud away madden
q175,tell know goodbye
q176,know pretend love
q177,spring like jupiter
